fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2008-06-30,2600000000,7464000000,4864000000,4864000000,1392000000,916000000,292000000,1208000000,,,,118000000.0,,,117000000,1510000000,438000000,,,,1392000000,1509000000,1072000000
2008-09-30,4791000000,7895000000,5156000000,8116000000,3494000000,999000000,298000000,1297000000,,,,140000000.0,,,134000000,3634000000,1213000000,,,,3494000000,1576000000,2421000000
2008-12-31,4507000000,10167000000,6635000000,7373000000,3101000000,1091000000,315000000,1406000000,,,,158000000.0,,,158000000,3259000000,1004000000,,,,3101000000,2284000000,2255000000
2009-03-31,3627000000,8163000000,5192000000,5457000000,2323000000,985000000,319000000,1304000000,,,,63000000.0,,,172000000,2386000000,766000000,,,,2323000000,1839000000,1620000000
2009-06-30,3983000000,8337000000,5314000000,5751000000,2632000000,1010000000,341000000,1351000000,,,,236000000.0,,60000000.0,176000000,2692000000,864000000,,1229000000.0,1900000000.0,2632000000,1672000000,1828000000
2009-09-30,5105000000,12207000000,7102000000,7102000000,3684000000,1063000000,358000000,1421000000,,,,45000000.0,,,197000000,3729000000,1197000000,,5105000000.0,2628000000.0,3684000000,2390000000,2532000000
2009-12-31,6411000000,15683000000,10560000000,9272000000,4725000000,1288000000,398000000,1686000000,,,,33000000.0,,33000000.0,209000000,4758000000,1380000000,,3378000000.0,3412000000.0,4725000000,4934000000,3378000000
2010-03-31,5625000000,13499000000,9094000000,7874000000,3979000000,1220000000,426000000,1646000000,,,,266000000.0,,50000000.0,216000000,4029000000,955000000,,3074000000.0,3088000000.0,3979000000,3979000000,3074000000
2010-06-30,6136000000,15700000000,11002000000,9564000000,4234000000,1438000000,464000000,1902000000,,,,58000000.0,,58000000.0,273000000,4292000000,1039000000,,3253000000.0,3236000000.0,4234000000,4507000000,3253000000
2010-09-30,7512000000,20343000000,15217000000,12831000000,5447000000,1571000000,494000000,2065000000,,,,14000000.0,,14000000.0,329000000,5461000000,1153000000,,7512000000.0,4154000000.0,5447000000,5776000000,4308000000
2010-12-31,10298000000,26741000000,18339000000,16443000000,7827000000,1896000000,575000000,2471000000,,,,136000000.0,,136000000.0,356000000,7963000000,1959000000,,6004000000.0,6164000000.0,7827000000,8183000000,6004000000
2011-03-31,10218000000,24708000000,16212000000,14449000000,7874000000,1763000000,581000000,2344000000,,,,26000000.0,,26000000.0,434000000,7900000000,1913000000,,5987000000.0,5999000000.0,7874000000,8308000000,5987000000
2011-06-30,11922000000,28571000000,18564000000,16649000000,9379000000,1915000000,628000000,2543000000,,,,172000000.0,,172000000.0,481000000,9551000000,2243000000,,7308000000.0,7571000000.0,9379000000,9860000000,7308000000
2011-09-30,11380000000,28270000000,20515000000,16890000000,8710000000,2025000000,645000000,2670000000,,,,81000000.0,,81000000.0,543000000,8791000000,2168000000,,11380000000.0,6677000000.0,8710000000,9253000000,6623000000
2011-12-31,20703000000,46333000000,28235000000,25630000000,17340000000,2605000000,758000000,3363000000,,,,137000000.0,,137000000.0,721000000,17477000000,4413000000,,13064000000.0,13005000000.0,17340000000,18061000000,13064000000
2012-03-31,18564000000,39186000000,22961000000,20622000000,15384000000,2339000000,841000000,3180000000,,,,148000000.0,,148000000.0,740000000,15532000000,3910000000,,11622000000.0,11762000000.0,15384000000,16124000000,11622000000
