fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2010-09-30,739000000,1562000000,1131000000,879000000,128000000,236000000,359000000,667000000,3000000.0,-56000000,,56000000,,-6000000,95000000,-117000000,1000000,56000000.0,-118000000,-113000000,128000000,223000000,-118000000
2010-12-31,743000000,1610000000,873000000,906000000,413000000,250000000,352000000,358000000,2000000.0,-39000000,,39000000,,14000000,89000000,417000000,42000000,39000000.0,375000000,364000000,413000000,502000000,375000000
2011-03-31,691000000,1565000000,1183000000,922000000,54000000,261000000,367000000,676000000,3000000.0,-48000000,,48000000,,11000000,88000000,512000000,2000000,48000000.0,510000000,511000000,560000000,142000000,510000000
2011-06-30,720000000,1527000000,1093000000,854000000,105000000,239000000,367000000,653000000,2000000.0,-47000000,,47000000,,4000000,80000000,64000000,3000000,47000000.0,61000000,60000000,111000000,191000000,61000000
2011-09-30,756000000,1648000000,1183000000,934000000,138000000,249000000,361000000,652000000,3000000.0,-42000000,,42000000,,-7000000,79000000,92000000,-5000000,42000000.0,97000000,89000000,134000000,213000000,97000000
2011-12-31,773000000,1648000000,1259000000,918000000,71000000,243000000,358000000,742000000,2000000.0,-43000000,,43000000,,-207000000,70000000,-181000000,-4000000,43000000.0,-173000000,-174000000,-138000000,-68000000,-177000000
2012-03-31,27000000,1542000000,1859000000,1558000000,-580000000,230000000,368000000,712000000,2000000.0,-43000000,,43000000,,-1000000,124000000,-622000000,-32000000,43000000.0,-590000000,-588000000,-579000000,-455000000,-590000000
2012-06-30,638000000,1370000000,987000000,775000000,77000000,212000000,345000000,600000000,2000000.0,-43000000,,43000000,,-5000000,65000000,31000000,-6000000,43000000.0,37000000,36000000,74000000,139000000,37000000
2012-09-30,392000000,1225000000,1068000000,877000000,-131000000,188000000,328000000,563000000,2000000.0,-44000000,,44000000,,16000000,66000000,-157000000,0,44000000.0,-157000000,-154000000,-113000000,-65000000,-157000000
2012-12-31,178000000,1110000000,1260000000,977000000,-422000000,193000000,313000000,641000000,2000000.0,-45000000,,45000000,,-4000000,66000000,-469000000,4000000,45000000.0,-473000000,-475000000,-424000000,-356000000,-473000000
2013-03-31,445000000,1092000000,935000000,643000000,-98000000,179000000,312000000,600000000,1000000.0,-44000000,,44000000,48000000.0,-3000000,66000000,-144000000,2000000,44000000.0,-146000000,-147000000,-100000000,-32000000,-146000000
2013-06-30,459000000,1119000000,882000000,702000000,-29000000,171000000,308000000,530000000,2000000.0,-42000000,,42000000,-1000000.0,-2000000,59000000,-71000000,3000000,42000000.0,-74000000,-76000000,-29000000,30000000,-74000000
2013-09-30,521000000,1414000000,1078000000,940000000,95000000,155000000,288000000,473000000,1000000.0,-47000000,,47000000,-17000000.0,2000000,57000000,51000000,3000000,47000000.0,48000000,52000000,98000000,152000000,48000000
2013-12-31,553000000,1545000000,1209000000,1036000000,135000000,169000000,293000000,510000000,1000000.0,-44000000,,44000000,-62000000.0,-2000000,54000000,90000000,1000000,44000000.0,89000000,89000000,134000000,189000000,89000000
2014-03-31,487000000,1365000000,1119000000,910000000,49000000,156000000,279000000,520000000,1000000.0,-47000000,,47000000,15000000.0,-20000000,53000000,-18000000,2000000,32000000.0,-20000000,-21000000,29000000,102000000,-20000000
2014-06-30,498000000,1395000000,1101000000,943000000,63000000,154000000,277000000,481000000,0.0,-46000000,,46000000,-79000000.0,-49000000,53000000,-32000000,4000000,46000000.0,-36000000,-32000000,14000000,116000000,-36000000
2014-09-30,494000000,1386000000,1088000000,935000000,63000000,150000000,278000000,431000000,1000000.0,-43000000,,43000000,0.0,-1000000,49000000,19000000,2000000,43000000.0,17000000,15000000,62000000,112000000,17000000
2014-12-31,360000000,1198000000,1260000000,879000000,-330000000,144000000,238000000,619000000,1000000.0,136000000,177000000.0,41000000,3000000.0,4000000,48000000,-367000000,-3000000,41000000.0,-364000000,-368000000,-326000000,-282000000,-364000000
2015-03-31,326000000,990000000,881000000,704000000,-137000000,131000000,242000000,419000000,,-40000000,,40000000,0.0,0,46000000,-177000000,3000000,40000000.0,-180000000,-187000000,-137000000,-91000000,-180000000
2015-06-30,232000000,902000000,844000000,710000000,-137000000,134000000,235000000,369000000,,-40000000,,40000000,0.0,-3000000,45000000,-180000000,1000000,40000000.0,-181000000,-174000000,-140000000,-92000000,-181000000
2015-09-30,239000000,1022000000,930000000,822000000,-158000000,108000000,241000000,349000000,,-39000000,,39000000,0.0,0,42000000,-197000000,0,39000000.0,-197000000,-207000000,-158000000,-116000000,-197000000
2015-12-31,283000000,917000000,784000000,675000000,-49000000,109000000,229000000,338000000,,119000000,160000000.0,41000000,0.0,-2000000,34000000,-92000000,10000000,41000000.0,-102000000,-95000000,-51000000,-15000000,-102000000
2016-03-31,269000000,799000000,668000000,563000000,-68000000,105000000,242000000,347000000,,-40000000,,40000000,0.0,0,33000000,-108000000,1000000,40000000.0,-109000000,-107000000,-68000000,-35000000,-109000000
2016-06-30,319000000,1012000000,825000000,708000000,-8000000,117000000,243000000,360000000,,-41000000,,41000000,0.0,150000000,33000000,98000000,29000000,41000000.0,69000000,72000000,139000000,25000000,69000000
2016-09-30,59000000,1290000000,1365000000,1248000000,-293000000,117000000,259000000,376000000,,-41000000,,41000000,-61000000.0,-63000000,33000000,-402000000,4000000,41000000.0,-406000000,-406000000,-361000000,-260000000,-406000000
2016-12-31,351000000,1103000000,876000000,797000000,-3000000,121000000,264000000,385000000,,124000000,158000000.0,34000000,-7000000.0,-7000000,34000000,-46000000,5000000,34000000.0,-51000000,-54000000,-12000000,31000000,-51000000
2017-03-31,378000000,1178000000,800000000,800000000,11000000,123000000,271000000,387000000,,-32000000,,32000000,-4000000.0,-5000000,34000000,-28000000,5000000,32000000.0,-71000000,-32000000,4000000,5000000,-33000000
2017-06-30,386000000,1151000000,765000000,765000000,-1000000,127000000,285000000,404000000,,-32000000,,32000000,1151000000.0,-3000000,35000000,-39000000,3000000,32000000.0,-13000000,-38000000,-7000000,60000000,-42000000
2017-09-30,571000000,1584000000,1013000000,1013000000,119000000,132000000,320000000,447000000,,-31000000,,31000000,1584000000.0,-3000000,36000000,83000000,22000000,31000000.0,71000000,63000000,114000000,162000000,61000000
2017-12-31,452000000,1449000000,1098000000,888000000,-2000000,134000000,320000000,433000000,,101000000,132000000.0,31000000,1340000000.0,2000000,39000000,-31000000,-12000000,31000000.0,61000000,-15000000,-2000000,121000000,-19000000
2018-03-31,597000000,1615000000,1184000000,1050000000,120000000,134000000,343000000,477000000,,-31000000,,31000000,-1000000.0,1000000,44000000,89000000,8000000,32000000.0,81000000,80000000,120000000,164000000,81000000
2018-06-30,652000000,1725000000,1246000000,1104000000,153000000,142000000,357000000,499000000,,-31000000,,31000000,1756000000.0,1000000,42000000,122000000,6000000,31000000.0,116000000,103000000,153000000,195000000,116000000
2018-09-30,661000000,1623000000,1140000000,992000000,150000000,148000000,363000000,511000000,,-30000000,,30000000,1653000000.0,-6000000,41000000,114000000,12000000,24000000.0,102000000,102000000,144000000,191000000,102000000
2018-12-31,537000000,1390000000,1020000000,882000000,28000000,138000000,371000000,509000000,,110000000,139000000.0,29000000,1419000000.0,4000000,43000000,3000000,-35000000,29000000.0,38000000,40000000,32000000,71000000,38000000
2019-03-31,521000000,1291000000,921000000,751000000,38000000,170000000,373000000,549000000,,-27000000,,27000000,1258000000.0,-7000000,46000000,3000000,-13000000,35000000.0,16000000,23000000,30000000,84000000,16000000
2019-06-30,621000000,1506000000,1099000000,910000000,59000000,189000000,373000000,562000000,,-25000000,,25000000,1531000000.0,3000000,70000000,37000000,2000000,25000000.0,35000000,36000000,62000000,129000000,35000000
2019-09-30,777000000,1737000000,1209000000,1024000000,186000000,185000000,406000000,591000000,,-24000000,,24000000,1761000000.0,-36000000,69000000,127000000,7000000,64000000.0,120000000,113000000,151000000,255000000,120000000
2019-12-31,949000000,2109000000,1384000000,1178000000,348000000,206000000,395000000,601000000,,91000000,109000000.0,18000000,2127000000.0,-125000000,64000000,205000000,35000000,18000000.0,170000000,177000000,223000000,287000000,170000000
2020-03-31,818000000,1755000000,1167000000,968000000,177000000,199000000,442000000,659000000,,-13000000,,13000000,1768000000.0,4000000,68000000,168000000,6000000,13000000.0,162000000,148000000,181000000,249000000,162000000
2020-06-30,848000000,1918000000,1299000000,1084000000,173000000,215000000,460000000,675000000,,-14000000,14000000.0,14000000,1932000000.0,1000000,72000000,161000000,4000000,14000000.0,157000000,167000000,175000000,247000000,157000000
2020-09-30,1230000000,2790000000,1844000000,1571000000,449000000,273000000,508000000,781000000,,-11000000,,11000000,2801000000.0,-37000000,82000000,402000000,12000000,11000000.0,390000000,399000000,413000000,495000000,390000000
2020-12-31,1451000000,3235000000,2101000000,1793000000,570000000,308000000,573000000,881000000,,46000000,55000000.0,9000000,3244000000.0,-15000000,90000000,549000000,-1232000000,9000000.0,1778000000,1793000000,558000000,648000000,1781000000
2021-03-31,1587000000,3422000000,2272000000,1858000000,662000000,319000000,610000000,1032000000,,-9000000,,9000000,3431000000.0,-11000000,95000000,644000000,89000000,15000000.0,555000000,544000000,653000000,748000000,555000000
2021-06-30,1830000000,3840000000,2361000000,2020000000,831000000,341000000,659000000,1000000000,,-10000000,,10000000,3850000000.0,0,97000000,823000000,113000000,10000000.0,710000000,711000000,833000000,930000000,710000000
2021-09-30,2086000000,4306000000,2603000000,2227000000,948000000,376000000,765000000,1141000000,,-7000000,,7000000,4313000000.0,62000000,97000000,1005000000,82000000,7000000.0,923000000,916000000,1012000000,1109000000,923000000
2021-12-31,2426000000,4845000000,2930000000,2400000000,1207000000,412000000,811000000,1356000000,,34000000,42000000.0,8000000,4811000000.0,4000000,118000000,1203000000,229000000,8000000.0,974000000,971000000,1211000000,1329000000,974000000
2022-03-31,2818000000,5859000000,4275000000,3069000000,951000000,597000000,1060000000,2281000000,,-13000000,,13000000,5872000000.0,-42000000,609000000,899000000,113000000,13000000.0,786000000,787000000,912000000,1521000000,786000000
2022-06-30,3028000000,6525000000,4114000000,3522000000,526000000,592000000,1300000000,1892000000,,-25000000,35000000.0,25000000,6550000000.0,-4000000,1000000000,501000000,54000000,25000000.0,447000000,416000000,526000000,1526000000,447000000
2022-09-30,2354000000,5534000000,3768000000,3211000000,-64000000,557000000,1279000000,1836000000,,-31000000,34000000.0,31000000,5565000000.0,22000000,1000000000,-69000000,-135000000,31000000.0,66000000,11000000,-38000000,962000000,66000000
2022-12-31,2403000000,5732000000,5006000000,3196000000,-149000000,590000000,1366000000,3177000000,,134000000,153000000.0,19000000,5598000000.0,32000000,1220000000,-133000000,-154000000,19000000.0,21000000,68000000,-114000000,1106000000,21000000
2023-03-31,2359000000,5353000000,5384000000,2994000000,-145000000,585000000,1411000000,3801000000,,-25000000,25000000.0,25000000,5353000000.0,43000000,1805000000,-126000000,13000000,,-139000000,-119000000,-101000000,2537000000,-139000000
2023-06-30,2443000000,5331000000,4156000000,2916000000,-20000000,547000000,1443000000,2683000000,,-28000000,28000000.0,28000000,5359000000.0,46000000,693000000,4000000,-23000000,28000000.0,27000000,16000000,32000000,725000000,27000000
2023-09-30,2747000000,5774000000,4289000000,3053000000,224000000,576000000,1507000000,2743000000,,-26000000,26000000.0,26000000,5800000000.0,59000000,660000000,260000000,-39000000,26000000.0,299000000,281000000,286000000,946000000,299000000
2023-12-31,2911000000,6452000000,5154000000,3257000000,342000000,644000000,1511000000,3409000000,,285000000,312000000.0,27000000,6167000000.0,49000000,1253000000,370000000,-297000000,27000000.0,667000000,707000000,397000000,1650000000,667000000
2024-03-31,2560000000,5473000000,4939000000,2913000000,36000000,620000000,1525000000,3551000000,,-25000000,,25000000,5473000000.0,53000000,1406000000,71000000,-52000000,,123000000,101000000,96000000,1502000000,123000000
2024-06-30,2864000000,5835000000,3621000000,2971000000,269000000,650000000,1583000000,2233000000,,-25000000,,25000000,5835000000.0,55000000,147000000,306000000,41000000,,265000000,264000000,331000000,478000000,265000000
2024-09-30,3419000000,6819000000,4121000000,3400000000,724000000,721000000,1636000000,2357000000,,-23000000,,23000000,6819000000.0,36000000,756000000,744000000,-27000000,,771000000,802000000,767000000,1523000000,771000000
