fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-03-31,165223000,190630000,25407000,25407000,38775000,58958000,47138000,151855000,,,,,-3866000,6894000,34909000,2936000,,31973000,31162000,38775000,45669000,31973000
2020-06-30,162987000,186382000,23395000,23395000,42086000,51988000,60777000,144296000,,,,,-3280000,7484000,38806000,6546000,,32260000,33547000,42086000,49570000,32260000
2020-09-30,278591000,315357000,36766000,36766000,101505000,71433000,73319000,213852000,,,,,1211000,8007000,102716000,21417000,,81299000,84143000,101505000,109512000,81299000
2020-12-31,535166000,585112000,49946000,49946000,226585000,97501000,90498000,358527000,,,,,6183000,8577000,232768000,55983000,,176785000,180442000,226585000,235162000,176785000
2021-03-31,1554150000,1801112000,246962000,234066000,987713000,239221000,184225000,813399000,3320000.0,3320000.0,0.0,2858000.0,8953000,6900000,996666000,225203000,0.0,771463000,767325000,996666000,1003566000,771463000
2021-06-30,1600934000,2227962000,627028000,335426000,874725000,443928000,291461000,1353237000,6481000.0,7229000.0,748000.0,-5261000.0,-5096000,8300000,868881000,-737468000,748000.0,1606349000,1607005000,869629000,877929000,1606349000
2021-09-30,893171000,1311908000,418737000,197251000,291808000,348037000,356264000,1020100000,8389000.0,15361000.0,6972000.0,-14042000.0,-13976000,12300000,270860000,-135240000,6972000.0,406100000,402894000,277832000,290132000,406100000
2021-12-31,1843138000,2498463000,655325000,501181000,922324000,541896000,459611000,1576139000,-21515000.0,-75000.0,21440000.0,29964000.0,-10344000,17800000,890540000,50332000,21440000.0,840208000,837245000,911980000,929780000,840208000
2022-03-31,297625000,1166436000,868811000,277826000,-554463000,613782000,570664000,1720899000,-11684000.0,10454000.0,22138000.0,-7389000.0,-32844000,25900000,-609445000,-179786000,22138000.0,-429659000,-430154000,-587307000,-561407000,-429659000
2022-06-30,-248591000,808325000,1056916000,167187000,-1044389000,611063000,609249000,1852714000,8858000.0,32514000.0,23656000.0,-107683000.0,-172524000,26400000,-1240569000,-146915000,23656000.0,-1093654000,-1107947000,-1216913000,-1190513000,-1093654000
2022-09-30,148826000,590339000,441513000,101876000,-556484000,415045000,556338000,1146823000,80271000.0,101778000.0,21507000.0,-64509000.0,-65699000,27700000,-643690000,-99055000,21507000.0,-544635000,-562945000,-622183000,-594483000,-544635000
2022-12-31,80362000,629108000,548746000,82991000,-554872000,470785000,590103000,1183980000,160610000.0,182210000.0,21600000.0,163795000.0,5594000,26100000,-570878000,-13877000,21600000.0,-557001000,-559114000,-549278000,-523178000,-557001000
2023-03-31,283895000,772529000,488634000,96369000,-123875000,312737000,358031000,896404000,219286000.0,240822000.0,21536000.0,-16892000.0,-20265000,26400000,-165676000,-86780000,21536000.0,-78896000,-68699000,-144140000,-117740000,-78896000
2023-06-30,344605000,707911000,363306000,108200000,-73575000,342841000,320667000,781486000,179692000.0,201364000.0,21672000.0,17900000.0,16564000,21500000,-78683000,18722000,3772000.0,-97405000,-102788000,-57011000,-35511000,-97405000
2023-09-30,331000000,674148000,343148000,90577000,-79825000,330808000,322756000,753973000,18646000.0,39467000.0,20821000.0,81209000.0,135307000,13200000,34661000,36926000,-60770000.0,-2265000,-12586000,55482000,68682000,-2265000
2023-12-31,519448000,953795000,434347000,155044000,115613000,387234000,323087000,838182000,23817000.0,42554000.0,18737000.0,25811000.0,35977000,8500000,132853000,-140584000,800000.0,273437000,287280000,151590000,160090000,273437000
2024-03-31,1251749000,1637570000,385821000,390369000,760461000,385821000,357863000,877109000,47592000.0,66663000.0,19071000.0,-1651000.0,45605000,29327000,1437424000,261179000,19071000.0,1176245000,1169019000,1456495000,789788000,1176245000
2024-06-30,964251000,1449628000,485377000,271171000,343117000,485377000,364258000,1106511000,69400000.0,,20507000.0,321000.0,-63827000,34501000,-60237000,-96387000,20507000.0,36150000,33375000,343117000,4000,36150000
2024-09-30,710036000,1205193000,495157000,171781000,169513000,495157000,377440000,1035680000,63987000.0,,20530000.0,4848000.0,40105000,30695000,68581000,-6914000,20530000.0,75495000,86923000,169513000,119806000,75495000
