fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2014-09-30,9828000000,16523000000,6695000000,6695000000,3724000000,1365000000,2655000000,6104000000,,,25000000,,26000000,,1547000000,3672000000,933000000,,2924000000,2155000000,3697000000,5271000000,2739000000
2014-12-31,11182000000,18103000000,6921000000,6921000000,4399000000,1593000000,2813000000,6783000000,,,25000000,,51000000,,1267000000,5494000000,819000000,,3708000000,4784000000,5519000000,5666000000,4675000000
2015-03-31,10902000000,17258000000,6356000000,6356000000,4447000000,1637000000,2753000000,6455000000,,,26000000,,35000000,,1177000000,4604000000,1089000000,,3515000000,3117000000,4630000000,5624000000,3515000000
2015-06-30,11144000000,17727000000,6583000000,6583000000,4825000000,1450000000,2789000000,6319000000,,,26000000,,33000000,,1234000000,4956000000,1025000000,,3409000000,3373000000,4982000000,6059000000,3931000000
2015-09-30,11638000000,18675000000,7037000000,7037000000,4708000000,3700000000,3230000000,6930000000,-26000000.0,,26000000,-100000000.0,49000000,,1248000000,4891000000,912000000,26000000.0,3979000000,3316000000,4917000000,5956000000,3979000000
2015-12-31,13141000000,21329000000,8188000000,8188000000,5380000000,4251000000,3510000000,7761000000,-26000000.0,,26000000,-161000000.0,35000000,,1404000000,5200000000,277000000,26000000.0,4923000000,4641000000,5226000000,7093000000,4923000000
2016-03-31,12609000000,20257000000,7648000000,7648000000,5342000000,3900000000,3367000000,7267000000,-30000000.0,,30000000,-186000000.0,13000000,,1371000000,5129000000,922000000,30000000.0,4102000000,4787000000,5159000000,6996000000,4207000000
2016-06-30,13370000000,21500000000,8130000000,8130000000,5968000000,4039000000,3363000000,7402000000,-32000000.0,,32000000,-128000000.0,18000000,,1490000000,6119000000,1242000000,32000000.0,4834000000,5020000000,6151000000,7783000000,4877000000
2016-09-30,13752000000,22451000000,8699000000,8699000000,5767000000,4389000000,3596000000,7985000000,-29000000.0,,29000000,-123000000.0,22000000,,1596000000,6045000000,984000000,29000000.0,5000000000,5180000000,6074000000,7703000000,5061000000
2016-12-31,15403000000,26064000000,10661000000,10661000000,6639000000,5142000000,3622000000,8764000000,-33000000.0,,33000000,-38000000.0,35000000,,1687000000,6857000000,1524000000,33000000.0,5542000000,3963000000,6890000000,8686000000,5333000000
2017-03-31,14955000000,24750000000,9795000000,9795000000,6568000000,4445000000,3942000000,8387000000,-25000000.0,,25000000,-2000000.0,34000000,,1503000000,6819000000,1393000000,25000000.0,5377000000,5659000000,6844000000,8417000000,5426000000
2017-06-30,15637000000,26010000000,10373000000,10373000000,4132000000,4597000000,4172000000,8769000000,-21000000.0,,21000000,-46000000.0,34000000,,1625000000,4377000000,853000000,21000000.0,3511000000,3965000000,4398000000,8821000000,3524000000
2017-09-30,16624000000,27772000000,11148000000,11148000000,7782000000,4637000000,4205000000,8842000000,-27000000.0,,27000000,-53000000.0,47000000,,1761000000,7979000000,1247000000,27000000.0,6701000000,7714000000,8006000000,9896000000,6732000000
2017-12-31,18056000000,32323000000,14267000000,14267000000,7696000000,6086000000,4306000000,10392000000,-36000000.0,,36000000,-20000000.0,43000000,,2026000000,8018000000,11038000000,36000000.0,-3083000000,-3266000000,8054000000,10134000000,-3020000000
