fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2007-09-30,11087000000,13762000000,2675000000,2675000000,5918000000,718000000,1837000000,5169000000,,,,,,,435000000,6216000000,1927000000,,,,5859000000,6294000000,4289000000
2007-12-31,12824000000,16367000000,3543000000,3543000000,6481000000,1066000000,1885000000,6343000000,,,,,,,481000000,6820000000,2113000000,,,,6348000000,6829000000,4707000000
2008-03-31,11940000000,14454000000,2514000000,2514000000,4409000000,2341000000,2035000000,7531000000,,,,,,,532000000,4810000000,422000000,,,,4234000000,4766000000,4388000000
2008-06-30,12971000000,15837000000,2866000000,2866000000,5684000000,887000000,2407000000,7287000000,,,,106000000.0,,,608000000,5968000000,1671000000,,,,5617000000,6225000000,4297000000
2008-09-30,12213000000,15061000000,2848000000,2848000000,5999000000,887000000,2283000000,6214000000,,,,,,,585000000,5991000000,1618000000,,,,5999000000,6799000000,4373000000
2008-12-31,12722000000,16629000000,3907000000,3907000000,5939000000,831000000,2290000000,6783000000,,,,,,,632000000,5638000000,1464000000,,,,5939000000,7047000000,4174000000
2009-03-31,10834000000,13648000000,2814000000,2814000000,4438000000,1203000000,2212000000,6396000000,,,,,,,664000000,4050000000,1073000000,,,,4438000000,5654000000,2977000000
2009-06-30,10513000000,13099000000,2586000000,2586000000,3987000000,1399000000,2225000000,6526000000,,,,38000000.0,,,681000000,4142000000,1097000000,,,,3987000000,4673000000,3045000000
2009-09-30,10078000000,12920000000,2842000000,2842000000,4482000000,3531000000,2065000000,5596000000,203000000.0,-38000000.0,,38000000.0,51000000.0,-3000000.0,646000000,4765000000,1191000000,38000000.0,3574000000.0,3574000000.0,4803000000,5331000000,3574000000
2009-12-31,15394000000,19022000000,3628000000,3628000000,8513000000,4743000000,2079000000,6881000000,197000000.0,-38000000.0,,38000000.0,73000000.0,46000000.0,615000000,8883000000,2221000000,38000000.0,6662000000.0,6662000000.0,8921000000,9325000000,6662000000
