fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2009-07-26,3298409000,2167905000,523785000,523785000,279216000,,1130504000,582914000,,505522000,135678000,369844000,,,942320000,70624000,,1051000000,891321000,275978000,,,,159679000,,25060000,,,25060000,615343000,134619000,2247409000,1463268000.0,1657529000,638000,546639000
2009-10-25,3463574000,2357716000,614490000,1634079000,277643000,,1105858000,565296000,,497661000,127817000,369844000,,,1019589000,1634079000,,1039939000,888806000,321530000,,,354034000.0,151133000,24760000.0,24760000,,,378794000,198133000,126373000,2423635000,1463268000.0,1765106000,646000,551283000
2010-01-31,3585918000,2480830000,447221000,1728227000,330674000,,1105088000,571858000,516625000.0,490302000,120458000,369844000,,,1281006000,46966000,10255000.0,920778000,784378000,344527000,,,390277000.0,136400000,24450000.0,24450000,,,414727000,29950000,111950000,2665140000,1463268000.0,1896182000,653000,561465851
2010-05-02,3803030000,2726980000,447262000,447262000,388139000,,1076050000,548916000,,485267000,115423000,369844000,,,1317634000,1764896000,,942385000,765293000,362740000,,,,177092000,24098000.0,24098000,,,24098000,402553000,152994000,2860645000,1473655000.0,2033776000,663000,567183000
2010-08-01,3731268000,2655962000,377003000,377003000,434227000,,1075306000,542216000,,488723000,118879000,369844000,,,1395497000,1772500000,,970754000,819139000,280041000,,,,151615000,23734000.0,23734000,,,23734000,539098000,127881000,2760514000,1473656000.0,1892815000,665000,572764000
2010-10-31,3915579000,2807702000,451174000,1987220000,377812000,,1107877000,585672000,,482486000,112642000,369844000,,,1536046000,1987220000,,1017699000,816489000,324770000,,,,201210000,23359000.0,23359000,,,23359000,491719000,177851000,2897880000,1479392000.0,1977677000,671000,577323000
2011-01-30,4495246000,3226950000,665361000,2490563000,345525000,,1268296000,568857000,625082000.0,658589000,288745000,369844000,,,1825202000,42092000,40850000.0,1313784000,942682000,286138000,408596000.0,,336380000.0,371102000,23389000.0,23389000,,,359769000,71300000,347713000,3181462000,1479392000.0,2149328000,677000,588555701
2011-05-01,4736744000,3496763000,683633000,683633000,380964000,,1239981000,553366000,,648605000,278761000,369844000,,,2042908000,2726541000,,1288936000,981166000,346295000,,,,307770000,22957000.0,22957000,,,22957000,634871000,284813000,3447808000,1487079000.0,2284547000,688000,594802000
2011-07-31,4864424000,3317557000,532614000,2474496000,361911000,,1596057000,550896000,,951649000,358136000,593513000,,,1941882000,2474496000,,1174955000,960299000,297813000,,,,263846000,22493000.0,22493000,,,22493000,662486000,192163000,3689469000,1487093000.0,2436120000,691000,601340000
2011-10-30,5089043000,3500071000,566816000,2748354000,319602000,,1588972000,551757000,,990892000,342839000,648053000,,,2181538000,2748354000,,1115593000,886684000,307943000,238139000.0,,,228909000,21949000.0,21949000,,,21949000,578741000,206960000,3973450000,1496904000.0,2614393000,698000,607063000
