fiscalDateEnding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2010-03-31,3852000,20812000,16960000,16960000,-25998000,29850000,13265000,29850000,,,,230000,,,,2141000,-29401000,118000,,,,-25998000,-23857000,-29519000
2010-06-30,6261000,28405000,22144000,22144000,-31362000,22207000,15416000,37623000,,,,464000,,-6729000.0,,2483000,-38508000,9000,,,,-38044000,-28879000,-38517000
2010-09-30,9296000,31241000,21945000,21945000,-37834000,20432000,26698000,47130000,,,,298000,,3180000.0,,3109000,-34852000,83000,,,,-37834000,-31445000,-34935000
2010-12-31,11321000,36286000,24965000,24965000,-51645000,25349000,37617000,62966000,,,,63000,,187000.0,,2890000,-51395000,-37000,,,,-51645000,-48755000,-51358000
2011-03-31,18028000,49030000,31002000,31002000,-47346000,24212000,41162000,65374000,,,,40000,,-1485000.0,,3517000,-48791000,150000,,,48941000.0,-47346000,-43829000,-48941000
2011-06-30,18508000,58171000,39663000,39663000,-58739000,24716000,52531000,77247000,46000.0,-1200000.0,,1200000,,-71000.0,,4318000,-58764000,139000,1200000.0,-58903000.0,-58903000.0,-58739000,-53246000,-58903000
2011-09-30,17224000,57666000,40442000,40442000,-64477000,27618000,54083000,81701000,80000.0,-1300000.0,,1300000,,-594000.0,,4280000,-64991000,87000,1300000.0,-65078000.0,-65102000.0,-64477000,-59411000,-65078000
2011-12-31,7835000,39375000,31540000,31948000,-80927000,27557000,61205000,88762000,89000.0,3257000.0,,-3257000,,-496000.0,,4804000,-81376000,112000,-3257000.0,7835000.0,-81468000.0,-80927000,-79829000,-81488000
2012-03-31,10210000,30167000,19957000,22569000,-88763000,30582000,68391000,98973000,90000.0,-65000.0,,65000,,-1076000.0,,4163000,-89814000,59000,65000.0,-89873000.0,-89879000.0,-89749000,-85586000,-89873000
2012-06-30,4762000,26653000,21891000,21891000,-106175000,36083000,74854000,110937000,74000.0,-84000.0,,84000,,691000.0,,4348000,-105494000,109000,84000.0,-105603000.0,-105597000.0,-105410000,-101062000,-105603000
2012-09-30,-8761000,50104000,58865000,58865000,-108460000,37798000,61901000,99699000,38000.0,-78000.0,,78000,,-2188000.0,,7522000,-110688000,116000,78000.0,-110804000.0,-110804000.0,-110610000,-103088000,-110804000
2012-12-31,23857000,306332000,282475000,283315000,-90883000,45908000,68832000,114740000,85000.0,-26000.0,,26000,,745000.0,,12792000,-90080000,-148000,26000.0,23857000.0,-89928000.0,-90054000,-77262000,-89932000
2013-03-31,96320000,561792000,465472000,467004000,-5584000,47045000,54859000,101904000,10000.0,-118000.0,,118000,,17091000.0,,17850000,11399000,151000,118000.0,11248000.0,11248000.0,11517000,29367000,11248000
2013-06-30,100483000,405139000,304656000,304656000,-11792000,59963000,52312000,112275000,39000.0,-20116000.0,,20116000,,1668000.0,,22198000,-30201000,301000,20116000.0,-30502000.0,-30502000.0,-10085000,12113000,-30502000
2013-09-30,102868000,431346000,328478000,328478000,-30554000,77071000,56351000,133422000,68000.0,-6492000.0,,6492000,524000.0,-740000.0,,28450000,-37718000,778000,6492000.0,-38496000.0,-38496000.0,-31226000,-2776000,-38496000
2013-12-31,156590000,615219000,458630000,460490000,-13353000,101489000,68453000,169942000,92000.0,-6229000.0,,6229000,123000.0,4584000.0,,37585000,-14906000,1358000,6229000.0,156590000.0,-16264000.0,-8677000,28908000,-16264000
2014-03-31,155128000,620542000,465414000,466992000,-43967000,117551000,81544000,199095000,141000.0,-11883000.0,,11883000,807000.0,6718000.0,,44268000,-48991000,809000,11883000.0,-49800000.0,-49800000.0,-37108000,7160000,-49800000
2014-06-30,212995000,769349000,556354000,556354000,-28753000,134031000,107717000,241748000,467000.0,-31238000.0,,31238000,-597000.0,-1226000.0,,54715000,-60750000,1150000,31238000.0,-61900000.0,-61900000.0,-29512000,25203000,-61900000
2014-09-30,251851000,851804000,599953000,599953000,-39129000,155107000,135873000,290980000,300000.0,-29062000.0,,29062000,2497000.0,-3090000.0,,64972000,-70981000,3727000,29062000.0,-74708000.0,-74708000.0,-41919000,23053000,-74708000
2014-12-31,261697000,956661000,694964000,696078000,-74838000,196970000,139565000,336535000,219000.0,-28703000.0,,28703000,-816000.0,-588000.0,,67976000,-103911000,3719000,28703000.0,261697000.0,-107651000.0,-75208000,-7232000,-107630000
2015-03-31,260073000,939880000,679807000,637646000,-102446000,195365000,167154000,362519000,184000.0,-26574000.0,,26574000,-27977000.0,-22305000.0,,77112000,-151141000,3040000,26574000.0,-154181000.0,-170124000.0,-124567000,-47455000,-154181000
2015-06-30,213370000,954976000,741606000,666386000,-170188000,201846000,181712000,383558000,247000.0,-24352000.0,,24352000,11206000.0,13233000.0,,91389000,-181060000,3167000,24352000.0,-184227000.0,-183066000.0,-156708000,-65319000,-184227000
2015-09-30,231496000,936789000,705293000,628729000,-183662000,236367000,178791000,415158000,327000.0,-29308000.0,,29308000,83540000.0,-15431000.0,,110366000,-228074000,1784000,29308000.0,-229858000.0,-239039000.0,-198766000,-88400000,-229858000
2015-12-31,218564000,1214379000,995816000,918079000,-260333000,288654000,190243000,478897000,750000.0,-38617000.0,,38617000,-20182000.0,-17149000.0,,143723000,-315349000,5048000,38617000.0,218564000.0,-299968000.0,-276732000,-133009000,-320397000
2016-03-31,252468000,1147048000,894580000,792326000,-248224000,318210000,182482000,500692000,1251000.0,-40625000.0,,40625000,-16815000.0,9177000.0,,156460000,-278421000,3846000,40625000.0,-282267000.0,-265146000.0,-237796000,-81336000,-282267000
2016-06-30,274776000,1270017000,995241000,909282000,-238040000,321152000,191664000,512816000,2242000.0,-46368000.0,,46368000,151628000.0,-7373000.0,,183232000,-289539000,3649000,46368000.0,-293188000.0,-272560000.0,-243171000,-59939000,-293188000
2016-09-30,636735000,2298436000,1661701000,1355102000,85622000,336811000,214302000,551113000,2858000.0,-46713000.0,,46713000,231285000.0,-11756000.0,,280468000,30011000,8133000,46713000.0,21878000.0,12995000.0,76724000,357192000,21878000
